Latitude,Longitude,q1,q2,q3,q4,Classification,responseList,Keywords_2,Keywords,Keywords_3,Keywords_Vect
52.2855,-1.55803,3.0,0.8,0.8,0.2,safe,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.","[('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('public', 0.1818), ('times route', 0.0321)]","[('busy', 0.3785), ('unsafe', 0.3211), ('cars', 0.3133), ('public', 0.1818), ('route', 0.003)]","[('cars feel unsafe', 0.7099), ('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('times route', 0.0321)]","[('cars', 0.3133), ('public', 0.1818), ('lot', 0.1286), ('times', 0.0115), ('route', 0.003)]"
52.28688,-1.53362,3.0,0.6,0.4,0.2,safe,"There was a long, isolated road with a lack of lighting on the route.; There was a long, isolated road with a lack of lighting on the route.","[('isolated road', 0.7717), ('long isolated', 0.6521), ('road', 0.5312), ('route long', 0.4862), ('lighting', 0.3005)]","[('isolated', 0.57), ('road', 0.5312), ('long', 0.454), ('route', 0.3725), ('lighting', 0.3005)]","[('long isolated road', 0.8514), ('lack lighting route', 0.7515), ('road', 0.5312), ('long', 0.454), ('lighting', 0.3005)]","[('isolated road', 0.7717), ('lack', 0.5557), ('route', 0.3725), ('lighting', 0.3005)]"
52.27925,-1.54465,3.0,0.6,0.4,0.2,safe,"There was a long, isolated road with a lack of lighting on the route.; There was a long, isolated road with a lack of lighting on the route.","[('isolated road', 0.7717), ('long isolated', 0.6521), ('road', 0.5312), ('route long', 0.4862), ('lighting', 0.3005)]","[('isolated', 0.57), ('road', 0.5312), ('long', 0.454), ('route', 0.3725), ('lighting', 0.3005)]","[('long isolated road', 0.8514), ('lack lighting route', 0.7515), ('road', 0.5312), ('long', 0.454), ('lighting', 0.3005)]","[('isolated road', 0.7717), ('lack', 0.5557), ('route', 0.3725), ('lighting', 0.3005)]"
52.290777,-1.533494,3.5,0.75,0.8,0.35,safe,"The route was busy with the public as there were many shops nearby. I think the parade would have been a safer choice.; The route was well lit, busy, with lots of public spaces.; This route was very well-lit, with lots of access to shops if needed. Many people were walking around even though it's dark.; The route had lots of public spaces available so I felt at ease.; The route was busy with the public as there were many shops nearby. I think the parade would have been a safer choice.; The route was well lit, busy, with lots of public spaces.; This route was very well-lit, with lots of access to shops if needed. Many people were walking around even though it's dark.; The route had lots of public spaces available so I felt at ease.","[('parade safer', 0.4993), ('shops needed', 0.3651), ('lit lots', 0.3043), ('nearby', 0.173), ('walking dark', 0.1234)]","[('parade', 0.3846), ('shops', 0.2816), ('nearby', 0.173), ('walking', 0.163), ('dark', 0.0098)]","[('busy public shops', 0.5989), ('parade', 0.3846), ('lit lots', 0.3043), ('people walking dark', 0.2213), ('choice route', 0.1394)]","[('many shops', 0.474), ('parade', 0.3846), ('public spaces', 0.3356), ('safer choice', 0.2828), ('lots', 0.0595)]"
52.27595,-1.51643,3.0,0.6,0.6,0.2,safe,"Well-lit street, was quite busy with other members of public.; Well-lit street, was quite busy with other members of public.","[('lit street', 0.7497), ('busy members', 0.6292), ('members public', 0.5889), ('lit', 0.4973), ('quite', 0.3242)]","[('street', 0.5627), ('public', 0.5542), ('busy', 0.5319), ('lit', 0.4973), ('members', 0.3455)]","[('public lit street', 0.7701), ('street quite busy', 0.7673), ('quite busy members', 0.6288), ('members public', 0.5889), ('quite', 0.3242)]","[('street', 0.5627), ('public', 0.5542), ('other members', 0.4653)]"
52.28569,-1.53394,3.0,0.6,0.4,0.2,safe,"There was a long, isolated road with a lack of lighting on the route.; There was a long, isolated road with a lack of lighting on the route.","[('isolated road', 0.7717), ('long isolated', 0.6521), ('road', 0.5312), ('route long', 0.4862), ('lighting', 0.3005)]","[('isolated', 0.57), ('road', 0.5312), ('long', 0.454), ('route', 0.3725), ('lighting', 0.3005)]","[('long isolated road', 0.8514), ('lack lighting route', 0.7515), ('road', 0.5312), ('long', 0.454), ('lighting', 0.3005)]","[('isolated road', 0.7717), ('lack', 0.5557), ('route', 0.3725), ('lighting', 0.3005)]"
52.2760706,-1.5164124,2.0,0.4,0.4,0.2,unsafe,"On route there was a road which had no street lighting and felt very unsafe. It was residential, but there was no access to public spaces.; On route there was a road which had no street lighting and felt very unsafe. It was residential, but there was no access to public spaces.","[('unsafe residential', 0.7215), ('street lighting', 0.3342), ('road', 0.2989), ('residential', 0.2465), ('access public', 0.1257)]","[('unsafe', 0.5525), ('road', 0.2989), ('residential', 0.2465), ('lighting', 0.1376), ('felt', 0.0808)]","[('unsafe residential access', 0.7517), ('street lighting felt', 0.3424), ('road street', 0.3144), ('residential', 0.2465), ('access public', 0.1257)]","[('street lighting', 0.3342), ('road', 0.2989), ('public spaces', 0.21), ('route', 0.1095), ('access', 0.0537)]"
52.28398,-1.53755,3.0,0.8,0.8,0.2,safe,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.","[('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('public', 0.1818), ('times route', 0.0321)]","[('busy', 0.3785), ('unsafe', 0.3211), ('cars', 0.3133), ('public', 0.1818), ('route', 0.003)]","[('cars feel unsafe', 0.7099), ('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('times route', 0.0321)]","[('cars', 0.3133), ('public', 0.1818), ('lot', 0.1286), ('times', 0.0115), ('route', 0.003)]"
52.2913,-1.57789,2.5,0.6,0.6,0.4,unsafe,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was isolated as it was far away from shops and any public spaces. The hospital was nearby which made me feel more safe but overall would have preferred a more busy route.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was isolated as it was far away from shops and any public spaces. The hospital was nearby which made me feel more safe but overall would have preferred a more busy route.","[('busy route', 0.3729), ('hospital nearby', 0.2311), ('cars', 0.1932), ('isolated', 0.1011), ('shops', 0.0952)]","[('unsafe', 0.2223), ('cars', 0.1932), ('hospital', 0.1045), ('shops', 0.0952), ('nearby', 0.0527)]","[('cars feel unsafe', 0.586), ('away shops public', 0.4198), ('hospital nearby', 0.2311), ('lot cars', 0.2222), ('times route', -0.0546)]","[('busy route', 0.3729), ('cars', 0.1932), ('hospital', 0.1045), ('shops', 0.0952), ('times', -0.1172)]"
52.28414,-1.53665,3.0,0.8,0.8,0.2,safe,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.","[('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('public', 0.1818), ('times route', 0.0321)]","[('busy', 0.3785), ('unsafe', 0.3211), ('cars', 0.3133), ('public', 0.1818), ('route', 0.003)]","[('cars feel unsafe', 0.7099), ('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('times route', 0.0321)]","[('cars', 0.3133), ('public', 0.1818), ('lot', 0.1286), ('times', 0.0115), ('route', 0.003)]"
